Variable 1,Variable 2,Correlation (Total),Correlation (Churn=0),Correlation (Churn=1),Correlation (Total) (ABS),Correlation (Churn=0) (ABS),Correlation (Churn=1) (ABS)
loc_ic_t2m_mou_6,loc_og_t2f_mou_6,0.167,0.1637,0.182,0.167,0.1637,0.182
loc_ic_t2m_mou_6,loc_og_t2f_mou_7,0.1507,0.1503,0.0987,0.1507,0.1503,0.0987
loc_ic_t2m_mou_6,loc_og_t2f_mou_8,0.139,0.1384,0.0666,0.139,0.1384,0.0666
loc_ic_t2m_mou_6,loc_og_t2c_mou_6,0.0181,0.0177,0.0225,0.0181,0.0177,0.0225
loc_ic_t2m_mou_6,loc_og_t2c_mou_7,-0.0051,-0.0058,-0.0025,0.0051,0.0058,0.0025
loc_ic_t2m_mou_6,loc_og_t2c_mou_8,0.0001,-0.0031,0.0012,0.0001,0.0031,0.0012
loc_ic_t2m_mou_6,loc_og_mou_6,0.4143,0.4128,0.3942,0.4143,0.4128,0.3942
loc_ic_t2m_mou_6,loc_og_mou_7,0.341,0.3425,0.2503,0.341,0.3425,0.2503
loc_ic_t2m_mou_6,loc_og_mou_8,0.3127,0.3162,0.149,0.3127,0.3162,0.149
loc_ic_t2m_mou_6,std_og_t2t_mou_6,-0.0413,-0.0425,0.0017,0.0413,0.0425,0.0017
loc_ic_t2m_mou_6,std_og_t2t_mou_7,-0.0655,-0.0706,-0.0173,0.0655,0.0706,0.0173
loc_ic_t2m_mou_6,std_og_t2t_mou_8,-0.0726,-0.0817,-0.009,0.0726,0.0817,0.009
loc_ic_t2m_mou_6,std_og_t2m_mou_6,-0.0201,-0.0204,0.0189,0.0201,0.0204,0.0189
loc_ic_t2m_mou_6,std_og_t2m_mou_7,-0.0472,-0.0507,-0.0119,0.0472,0.0507,0.0119
loc_ic_t2m_mou_6,std_og_t2m_mou_8,-0.0553,-0.0627,-0.0182,0.0553,0.0627,0.0182
loc_ic_t2m_mou_6,std_og_t2f_mou_6,0.0337,0.0324,0.0289,0.0337,0.0324,0.0289
loc_ic_t2m_mou_6,std_og_t2f_mou_7,0.0287,0.0286,0.0041,0.0287,0.0286,0.0041
loc_ic_t2m_mou_6,std_og_t2f_mou_8,0.0292,0.0275,0.0093,0.0292,0.0275,0.0093
loc_ic_t2m_mou_6,std_og_mou_6,-0.0395,-0.0401,0.014,0.0395,0.0401,0.014
loc_ic_t2m_mou_6,std_og_mou_7,-0.0731,-0.0784,-0.0195,0.0731,0.0784,0.0195
loc_ic_t2m_mou_6,std_og_mou_8,-0.083,-0.0938,-0.0163,0.083,0.0938,0.0163
loc_ic_t2m_mou_6,isd_og_mou_6,0.0013,-0.0002,0.0306,0.0013,0.0002,0.0306
loc_ic_t2m_mou_6,isd_og_mou_7,-0.0003,-0.0014,0.022,0.0003,0.0014,0.022
loc_ic_t2m_mou_6,isd_og_mou_8,-0.0012,-0.0024,0.0224,0.0012,0.0024,0.0224
loc_ic_t2m_mou_6,spl_og_mou_6,0.0383,0.0365,0.0627,0.0383,0.0365,0.0627
loc_ic_t2m_mou_6,spl_og_mou_7,0.0094,0.0067,0.0303,0.0094,0.0067,0.0303
loc_ic_t2m_mou_6,spl_og_mou_8,0.0102,0.0059,-0.0002,0.0102,0.0059,0.0002
loc_ic_t2m_mou_6,og_others_6,0.028,0.027,0.0484,0.028,0.027,0.0484
loc_ic_t2m_mou_6,og_others_7,0.0051,0.0048,0.0121,0.0051,0.0048,0.0121
loc_ic_t2m_mou_6,og_others_8,0.0009,0.0006,0.0075,0.0009,0.0006,0.0075
loc_ic_t2m_mou_6,total_og_mou_6,0.1911,0.2012,0.1493,0.1911,0.2012,0.1493
loc_ic_t2m_mou_6,total_og_mou_7,0.1131,0.1154,0.058,0.1131,0.1154,0.058
loc_ic_t2m_mou_6,total_og_mou_8,0.0887,0.0823,0.0237,0.0887,0.0823,0.0237
loc_ic_t2m_mou_6,loc_ic_t2t_mou_6,0.2157,0.2068,0.2924,0.2157,0.2068,0.2924
loc_ic_t2m_mou_6,loc_ic_t2t_mou_7,0.1842,0.184,0.1475,0.1842,0.184,0.1475
loc_ic_t2m_mou_6,loc_ic_t2t_mou_8,0.1791,0.1797,0.0906,0.1791,0.1797,0.0906
loc_ic_t2m_mou_7,arpu_6,0.2017,0.2172,0.1073,0.2017,0.2172,0.1073
loc_ic_t2m_mou_7,arpu_7,0.2249,0.221,0.229,0.2249,0.221,0.229
loc_ic_t2m_mou_7,arpu_8,0.1872,0.1766,0.1094,0.1872,0.1766,0.1094
loc_ic_t2m_mou_7,onnet_mou_6,0.0171,0.0244,0.0071,0.0171,0.0244,0.0071
loc_ic_t2m_mou_7,onnet_mou_7,0.0289,0.0258,0.0653,0.0289,0.0258,0.0653
loc_ic_t2m_mou_7,onnet_mou_8,0.0157,0.0071,0.0319,0.0157,0.0071,0.0319
loc_ic_t2m_mou_7,offnet_mou_6,0.1939,0.2106,0.1026,0.1939,0.2106,0.1026
loc_ic_t2m_mou_7,offnet_mou_7,0.2202,0.2215,0.2014,0.2202,0.2215,0.2014
loc_ic_t2m_mou_7,offnet_mou_8,0.1724,0.1656,0.1158,0.1724,0.1656,0.1158
loc_ic_t2m_mou_7,roam_ic_mou_6,0.011,0.0225,-0.0313,0.011,0.0225,0.0313
loc_ic_t2m_mou_7,roam_ic_mou_7,-0.0224,-0.015,-0.0413,0.0224,0.015,0.0413
loc_ic_t2m_mou_7,roam_ic_mou_8,-0.0033,0.0052,-0.019,0.0033,0.0052,0.019
loc_ic_t2m_mou_7,roam_og_mou_6,-0.0133,-0.0042,-0.0442,0.0133,0.0042,0.0442
loc_ic_t2m_mou_7,roam_og_mou_7,-0.0456,-0.0382,-0.0623,0.0456,0.0382,0.0623
loc_ic_t2m_mou_7,roam_og_mou_8,-0.0188,-0.0104,-0.0382,0.0188,0.0104,0.0382
loc_ic_t2m_mou_7,loc_og_t2t_mou_6,0.1288,0.1287,0.0783,0.1288,0.1287,0.0783
loc_ic_t2m_mou_7,loc_og_t2t_mou_7,0.1365,0.1301,0.1744,0.1365,0.1301,0.1744
loc_ic_t2m_mou_7,loc_og_t2t_mou_8,0.1328,0.1276,0.0898,0.1328,0.1276,0.0898
loc_ic_t2m_mou_7,loc_og_t2m_mou_6,0.4138,0.4139,0.3312,0.4138,0.4139,0.3312
loc_ic_t2m_mou_7,loc_og_t2m_mou_7,0.4818,0.4763,0.4754,0.4818,0.4763,0.4754
loc_ic_t2m_mou_7,loc_og_t2m_mou_8,0.4139,0.4099,0.3044,0.4139,0.4099,0.3044
loc_ic_t2m_mou_7,loc_og_t2f_mou_6,0.153,0.1483,0.1579,0.153,0.1483,0.1579
loc_ic_t2m_mou_7,loc_og_t2f_mou_7,0.1716,0.1657,0.1934,0.1716,0.1657,0.1934
loc_ic_t2m_mou_7,loc_og_t2f_mou_8,0.1507,0.1453,0.109,0.1507,0.1453,0.109
loc_ic_t2m_mou_7,loc_og_t2c_mou_6,0.0148,0.0145,0.0224,0.0148,0.0145,0.0224
loc_ic_t2m_mou_7,loc_og_t2c_mou_7,0.0042,0.004,0.01,0.0042,0.004,0.01
loc_ic_t2m_mou_7,loc_og_t2c_mou_8,0.0057,0.0002,0.0328,0.0057,0.0002,0.0328
loc_ic_t2m_mou_7,loc_og_mou_6,0.3505,0.3507,0.2624,0.3505,0.3507,0.2624
loc_ic_t2m_mou_7,loc_og_mou_7,0.3956,0.3876,0.4315,0.3956,0.3876,0.4315
loc_ic_t2m_mou_7,loc_og_mou_8,0.3484,0.3435,0.2381,0.3484,0.3435,0.2381
loc_ic_t2m_mou_7,std_og_t2t_mou_6,-0.0515,-0.0491,-0.0143,0.0515,0.0491,0.0143
loc_ic_t2m_mou_7,std_og_t2t_mou_7,-0.04,-0.0455,0.0327,0.04,0.0455,0.0327
loc_ic_t2m_mou_7,std_og_t2t_mou_8,-0.0541,-0.0645,0.0206,0.0541,0.0645,0.0206
loc_ic_t2m_mou_7,std_og_t2m_mou_6,-0.0284,-0.0245,0.0011,0.0284,0.0245,0.0011
loc_ic_t2m_mou_7,std_og_t2m_mou_7,-0.0155,-0.0208,0.0602,0.0155,0.0208,0.0602
loc_ic_t2m_mou_7,std_og_t2m_mou_8,-0.0315,-0.0418,0.0403,0.0315,0.0418,0.0403
loc_ic_t2m_mou_7,std_og_t2f_mou_6,0.031,0.0292,0.0216,0.031,0.0292,0.0216
loc_ic_t2m_mou_7,std_og_t2f_mou_7,0.037,0.0353,0.0225,0.037,0.0353,0.0225
loc_ic_t2m_mou_7,std_og_t2f_mou_8,0.0341,0.0309,0.011,0.0341,0.0309,0.011
loc_ic_t2m_mou_7,std_og_mou_6,-0.0516,-0.0472,-0.0087,0.0516,0.0472,0.0087
loc_ic_t2m_mou_7,std_og_mou_7,-0.0356,-0.0424,0.0615,0.0356,0.0424,0.0615
loc_ic_t2m_mou_7,std_og_mou_8,-0.0555,-0.0688,0.0386,0.0555,0.0688,0.0386
loc_ic_t2m_mou_7,isd_og_mou_6,0.0002,-0.0002,0.0237,0.0002,0.0002,0.0237
loc_ic_t2m_mou_7,isd_og_mou_7,0.0025,0.0004,0.0598,0.0025,0.0004,0.0598
loc_ic_t2m_mou_7,isd_og_mou_8,0.001,-0.0008,0.0547,0.001,0.0008,0.0547
loc_ic_t2m_mou_7,spl_og_mou_6,0.0281,0.0271,0.0579,0.0281,0.0271,0.0579
loc_ic_t2m_mou_7,spl_og_mou_7,0.0237,0.0193,0.0776,0.0237,0.0193,0.0776
loc_ic_t2m_mou_7,spl_og_mou_8,0.0232,0.0153,0.0661,0.0232,0.0153,0.0661
loc_ic_t2m_mou_7,og_others_6,0.017,0.0181,0.017,0.017,0.0181,0.017
loc_ic_t2m_mou_7,og_others_7,0.0063,0.0061,0.0035,0.0063,0.0061,0.0035
loc_ic_t2m_mou_7,og_others_8,0.002,0.0015,0.0166,0.002,0.0015,0.0166
loc_ic_t2m_mou_7,total_og_mou_6,0.1472,0.161,0.0833,0.1472,0.161,0.0833
loc_ic_t2m_mou_7,total_og_mou_7,0.1729,0.1695,0.1837,0.1729,0.1695,0.1837
loc_ic_t2m_mou_7,total_og_mou_8,0.1317,0.1179,0.1137,0.1317,0.1179,0.1137
loc_ic_t2m_mou_7,loc_ic_t2t_mou_6,0.1833,0.1838,0.1499,0.1833,0.1838,0.1499
loc_ic_t2m_mou_7,loc_ic_t2t_mou_7,0.1962,0.1947,0.1613,0.1962,0.1947,0.1613
loc_ic_t2m_mou_7,loc_ic_t2t_mou_8,0.1972,0.1928,0.1422,0.1972,0.1928,0.1422
loc_ic_t2m_mou_7,loc_ic_t2m_mou_6,0.775,0.7875,0.5778,0.775,0.7875,0.5778
loc_ic_t2m_mou_8,arpu_6,0.1741,0.1912,0.0608,0.1741,0.1912,0.0608
loc_ic_t2m_mou_8,arpu_7,0.1902,0.1917,0.0768,0.1902,0.1917,0.0768
loc_ic_t2m_mou_8,arpu_8,0.2229,0.2089,0.148,0.2229,0.2089,0.148
loc_ic_t2m_mou_8,onnet_mou_6,0.0068,0.0157,-0.0162,0.0068,0.0157,0.0162
loc_ic_t2m_mou_8,onnet_mou_7,0.0151,0.0152,-0.001,0.0151,0.0152,0.001
loc_ic_t2m_mou_8,onnet_mou_8,0.0297,0.0187,0.0837,0.0297,0.0187,0.0837
loc_ic_t2m_mou_8,offnet_mou_6,0.1608,0.1804,0.0242,0.1608,0.1804,0.0242
loc_ic_t2m_mou_8,offnet_mou_7,0.1777,0.1841,0.0628,0.1777,0.1841,0.0628
loc_ic_t2m_mou_8,offnet_mou_8,0.2145,0.2038,0.2404,0.2145,0.2038,0.2404
loc_ic_t2m_mou_8,roam_ic_mou_6,0.0213,0.0322,-0.0042,0.0213,0.0322,0.0042
loc_ic_t2m_mou_8,roam_ic_mou_7,-0.0024,0.0113,-0.0536,0.0024,0.0113,0.0536
loc_ic_t2m_mou_8,roam_ic_mou_8,-0.0251,-0.0162,-0.0731,0.0251,0.0162,0.0731
loc_ic_t2m_mou_8,roam_og_mou_6,-0.0034,0.0041,0.0002,0.0034,0.0041,0.0002
loc_ic_t2m_mou_8,roam_og_mou_7,-0.0288,-0.0184,-0.0648,0.0288,0.0184,0.0648
loc_ic_t2m_mou_8,roam_og_mou_8,-0.0395,-0.031,-0.0879,0.0395,0.031,0.0879
loc_ic_t2m_mou_8,loc_og_t2t_mou_6,0.1239,0.1242,0.0485,0.1239,0.1242,0.0485
loc_ic_t2m_mou_8,loc_og_t2t_mou_7,0.1282,0.1228,0.0928,0.1282,0.1228,0.0928
loc_ic_t2m_mou_8,loc_og_t2t_mou_8,0.1423,0.1339,0.154,0.1423,0.1339,0.154
loc_ic_t2m_mou_8,loc_og_t2m_mou_6,0.369,0.3718,0.1816,0.369,0.3718,0.1816
loc_ic_t2m_mou_8,loc_og_t2m_mou_7,0.4194,0.4174,0.2574,0.4194,0.4174,0.2574
loc_ic_t2m_mou_8,loc_og_t2m_mou_8,0.4797,0.4694,0.5545,0.4797,0.4694,0.5545
loc_ic_t2m_mou_8,loc_og_t2f_mou_6,0.1432,0.1382,0.1399,0.1432,0.1382,0.1399
loc_ic_t2m_mou_8,loc_og_t2f_mou_7,0.1558,0.1501,0.1278,0.1558,0.1501,0.1278
loc_ic_t2m_mou_8,loc_og_t2f_mou_8,0.1651,0.1565,0.1837,0.1651,0.1565,0.1837
loc_ic_t2m_mou_8,loc_og_t2c_mou_6,0.0092,0.01,-0.0034,0.0092,0.01,0.0034
loc_ic_t2m_mou_8,loc_og_t2c_mou_7,0.0031,0.0045,-0.0072,0.0031,0.0045,0.0072
loc_ic_t2m_mou_8,loc_og_t2c_mou_8,0.0124,0.0068,0.0185,0.0124,0.0068,0.0185
loc_ic_t2m_mou_8,loc_og_mou_6,0.3184,0.3204,0.1511,0.3184,0.3204,0.1511
loc_ic_t2m_mou_8,loc_og_mou_7,0.3504,0.3453,0.2366,0.3504,0.3453,0.2366
loc_ic_t2m_mou_8,loc_og_mou_8,0.3963,0.3852,0.4449,0.3963,0.3852,0.4449
loc_ic_t2m_mou_8,std_og_t2t_mou_6,-0.0625,-0.0579,-0.0404,0.0625,0.0579,0.0404
loc_ic_t2m_mou_8,std_og_t2t_mou_7,-0.0525,-0.0548,-0.0201,0.0525,0.0548,0.0201
loc_ic_t2m_mou_8,std_og_t2t_mou_8,-0.0415,-0.0531,0.0566,0.0415,0.0531,0.0566
loc_ic_t2m_mou_8,std_og_t2m_mou_6,-0.0419,-0.035,-0.0386,0.0419,0.035,0.0386
loc_ic_t2m_mou_8,std_og_t2m_mou_7,-0.0314,-0.0322,-0.0174,0.0314,0.0322,0.0174
loc_ic_t2m_mou_8,std_og_t2m_mou_8,-0.0176,-0.029,0.077,0.0176,0.029,0.077
loc_ic_t2m_mou_8,std_og_t2f_mou_6,0.0288,0.0264,0.0234,0.0288,0.0264,0.0234
loc_ic_t2m_mou_8,std_og_t2f_mou_7,0.0328,0.0305,0.0185,0.0328,0.0305,0.0185
loc_ic_t2m_mou_8,std_og_t2f_mou_8,0.0409,0.0363,0.0387,0.0409,0.0363,0.0387
loc_ic_t2m_mou_8,std_og_mou_6,-0.0676,-0.0598,-0.0524,0.0676,0.0598,0.0524
loc_ic_t2m_mou_8,std_og_mou_7,-0.0543,-0.056,-0.0239,0.0543,0.056,0.0239
loc_ic_t2m_mou_8,std_og_mou_8,-0.038,-0.0529,0.0902,0.038,0.0529,0.0902
loc_ic_t2m_mou_8,isd_og_mou_6,0.0003,0.0003,0.029,0.0003,0.0003,0.029
loc_ic_t2m_mou_8,isd_og_mou_7,0.002,0.001,0.0549,0.002,0.001,0.0549
loc_ic_t2m_mou_8,isd_og_mou_8,0.0025,0.001,0.0709,0.0025,0.001,0.0709
loc_ic_t2m_mou_8,spl_og_mou_6,0.0218,0.0244,0.0037,0.0218,0.0244,0.0037
loc_ic_t2m_mou_8,spl_og_mou_7,0.0184,0.0185,-0.0014,0.0184,0.0185,0.0014
loc_ic_t2m_mou_8,spl_og_mou_8,0.0398,0.0311,0.064,0.0398,0.0311,0.064
loc_ic_t2m_mou_8,og_others_6,0.0119,0.0134,0.0099,0.0119,0.0134,0.0099
loc_ic_t2m_mou_8,og_others_7,0.005,0.0048,0.0017,0.005,0.0048,0.0017
loc_ic_t2m_mou_8,og_others_8,0.0011,0.0004,0.0104,0.0011,0.0004,0.0104
loc_ic_t2m_mou_8,total_og_mou_6,0.1163,0.1334,0.0021,0.1163,0.1334,0.0021
loc_ic_t2m_mou_8,total_og_mou_7,0.1345,0.1364,0.0425,0.1345,0.1364,0.0425
loc_ic_t2m_mou_8,total_og_mou_8,0.1706,0.1531,0.1895,0.1706,0.1531,0.1895
loc_ic_t2m_mou_8,loc_ic_t2t_mou_6,0.1714,0.1732,0.1193,0.1714,0.1732,0.1193
loc_ic_t2m_mou_8,loc_ic_t2t_mou_7,0.1772,0.1779,0.0777,0.1772,0.1779,0.0777
loc_ic_t2m_mou_8,loc_ic_t2t_mou_8,0.1989,0.1902,0.2391,0.1989,0.1902,0.2391
loc_ic_t2m_mou_8,loc_ic_t2m_mou_6,0.6712,0.6887,0.3547,0.6712,0.6887,0.3547
loc_ic_t2m_mou_8,loc_ic_t2m_mou_7,0.7933,0.7982,0.5937,0.7933,0.7982,0.5937
loc_ic_t2f_mou_6,arpu_6,0.073,0.0753,0.08,0.073,0.0753,0.08
loc_ic_t2f_mou_6,arpu_7,0.0569,0.0546,0.0478,0.0569,0.0546,0.0478
loc_ic_t2f_mou_6,arpu_8,0.0515,0.0449,0.0139,0.0515,0.0449,0.0139
loc_ic_t2f_mou_6,onnet_mou_6,-0.0029,0.0002,-0.0054,0.0029,0.0002,0.0054
loc_ic_t2f_mou_6,onnet_mou_7,-0.0098,-0.0107,-0.0055,0.0098,0.0107,0.0055
loc_ic_t2f_mou_6,onnet_mou_8,-0.0133,-0.018,-0.0026,0.0133,0.018,0.0026
loc_ic_t2f_mou_6,offnet_mou_6,0.06,0.0619,0.0746,0.06,0.0619,0.0746
loc_ic_t2f_mou_6,offnet_mou_7,0.0362,0.0356,0.0251,0.0362,0.0356,0.0251
loc_ic_t2f_mou_6,offnet_mou_8,0.0286,0.0235,0.0221,0.0286,0.0235,0.0221
loc_ic_t2f_mou_6,roam_ic_mou_6,-0.0184,-0.0179,-0.0134,0.0184,0.0179,0.0134
loc_ic_t2f_mou_6,roam_ic_mou_7,-0.0015,0.0033,-0.0093,0.0015,0.0033,0.0093
loc_ic_t2f_mou_6,roam_ic_mou_8,0.0053,0.0109,-0.0082,0.0053,0.0109,0.0082
loc_ic_t2f_mou_6,roam_og_mou_6,-0.0313,-0.0307,-0.0237,0.0313,0.0307,0.0237
loc_ic_t2f_mou_6,roam_og_mou_7,-0.0181,-0.0145,-0.0219,0.0181,0.0145,0.0219
loc_ic_t2f_mou_6,roam_og_mou_8,-0.011,-0.0074,-0.0157,0.011,0.0074,0.0157
loc_ic_t2f_mou_6,loc_og_t2t_mou_6,0.0684,0.0671,0.0596,0.0684,0.0671,0.0596
loc_ic_t2f_mou_6,loc_og_t2t_mou_7,0.0623,0.0596,0.0548,0.0623,0.0596,0.0548
loc_ic_t2f_mou_6,loc_og_t2t_mou_8,0.0588,0.0561,0.0255,0.0588,0.0561,0.0255
loc_ic_t2f_mou_6,loc_og_t2m_mou_6,0.1498,0.1433,0.2161,0.1498,0.1433,0.2161
loc_ic_t2f_mou_6,loc_og_t2m_mou_7,0.1318,0.1272,0.1265,0.1318,0.1272,0.1265
loc_ic_t2f_mou_6,loc_og_t2m_mou_8,0.1194,0.1145,0.0894,0.1194,0.1145,0.0894
loc_ic_t2f_mou_6,loc_og_t2f_mou_6,0.2475,0.2457,0.2383,0.2475,0.2457,0.2383
loc_ic_t2f_mou_6,loc_og_t2f_mou_7,0.2245,0.2249,0.1402,0.2245,0.2249,0.1402
loc_ic_t2f_mou_6,loc_og_t2f_mou_8,0.2121,0.2127,0.081,0.2121,0.2127,0.081
loc_ic_t2f_mou_6,loc_og_t2c_mou_6,0.0075,0.0082,-0.0015,0.0075,0.0082,0.0015
loc_ic_t2f_mou_6,loc_og_t2c_mou_7,-0.0038,-0.0045,-0.0009,0.0038,0.0045,0.0009
loc_ic_t2f_mou_6,loc_og_t2c_mou_8,-0.0058,-0.0081,-0.0073,0.0058,0.0081,0.0073
loc_ic_t2f_mou_6,loc_og_mou_6,0.1498,0.145,0.1812,0.1498,0.145,0.1812
loc_ic_t2f_mou_6,loc_og_mou_7,0.1333,0.1291,0.1226,0.1333,0.1291,0.1226
loc_ic_t2f_mou_6,loc_og_mou_8,0.1222,0.1179,0.076,0.1222,0.1179,0.076
loc_ic_t2f_mou_6,std_og_t2t_mou_6,-0.039,-0.0379,-0.023,0.039,0.0379,0.023
loc_ic_t2f_mou_6,std_og_t2t_mou_7,-0.0452,-0.0477,-0.0163,0.0452,0.0477,0.0163
loc_ic_t2f_mou_6,std_og_t2t_mou_8,-0.0476,-0.0528,-0.0098,0.0476,0.0528,0.0098
loc_ic_t2f_mou_6,std_og_t2m_mou_6,-0.0283,-0.0287,0.0068,0.0283,0.0287,0.0068
loc_ic_t2f_mou_6,std_og_t2m_mou_7,-0.0414,-0.0435,-0.0152,0.0414,0.0435,0.0152
loc_ic_t2f_mou_6,std_og_t2m_mou_8,-0.0417,-0.0466,-0.0128,0.0417,0.0466,0.0128
loc_ic_t2f_mou_6,std_og_t2f_mou_6,0.0447,0.039,0.1385,0.0447,0.039,0.1385
loc_ic_t2f_mou_6,std_og_t2f_mou_7,0.0338,0.0327,0.0303,0.0338,0.0327,0.0303
loc_ic_t2f_mou_6,std_og_t2f_mou_8,0.0314,0.0298,0.0185,0.0314,0.0298,0.0185
loc_ic_t2f_mou_6,std_og_mou_6,-0.0431,-0.0424,-0.0097,0.0431,0.0424,0.0097
loc_ic_t2f_mou_6,std_og_mou_7,-0.0559,-0.0587,-0.0208,0.0559,0.0587,0.0208
loc_ic_t2f_mou_6,std_og_mou_8,-0.0578,-0.0644,-0.0137,0.0578,0.0644,0.0137
loc_ic_t2f_mou_6,isd_og_mou_6,-0.0009,-0.0009,0.0075,0.0009,0.0009,0.0075
loc_ic_t2f_mou_6,isd_og_mou_7,0.0003,-0.0005,0.0236,0.0003,0.0005,0.0236
loc_ic_t2f_mou_6,isd_og_mou_8,-0.0005,-0.0015,0.0318,0.0005,0.0015,0.0318
loc_ic_t2f_mou_6,spl_og_mou_6,0.0129,0.0126,0.0251,0.0129,0.0126,0.0251
loc_ic_t2f_mou_6,spl_og_mou_7,0.0024,0.0012,0.0132,0.0024,0.0012,0.0132
loc_ic_t2f_mou_6,spl_og_mou_8,-0.004,-0.0077,-0.0025,0.004,0.0077,0.0025
loc_ic_t2f_mou_6,og_others_6,0.0462,0.0408,0.1467,0.0462,0.0408,0.1467
loc_ic_t2f_mou_6,og_others_7,0.036,0.0332,0.1555,0.036,0.0332,0.1555
loc_ic_t2f_mou_6,og_others_8,0.0042,0.004,0.0046,0.0042,0.004,0.0046
loc_ic_t2f_mou_6,total_og_mou_6,0.0466,0.0489,0.0571,0.0466,0.0489,0.0571
loc_ic_t2f_mou_6,total_og_mou_7,0.022,0.0196,0.0201,0.022,0.0196,0.0201
loc_ic_t2f_mou_6,total_og_mou_8,0.0137,0.0056,0.0057,0.0137,0.0056,0.0057
loc_ic_t2f_mou_6,loc_ic_t2t_mou_6,0.0952,0.0938,0.0964,0.0952,0.0938,0.0964
loc_ic_t2f_mou_6,loc_ic_t2t_mou_7,0.0838,0.0833,0.0516,0.0838,0.0833,0.0516
loc_ic_t2f_mou_6,loc_ic_t2t_mou_8,0.0833,0.0805,0.0438,0.0833,0.0805,0.0438
loc_ic_t2f_mou_6,loc_ic_t2m_mou_6,0.2275,0.2248,0.2315,0.2275,0.2248,0.2315
loc_ic_t2f_mou_6,loc_ic_t2m_mou_7,0.2075,0.2025,0.2181,0.2075,0.2025,0.2181
loc_ic_t2f_mou_6,loc_ic_t2m_mou_8,0.1913,0.1877,0.1352,0.1913,0.1877,0.1352
loc_ic_t2f_mou_7,arpu_6,0.0607,0.0645,0.0631,0.0607,0.0645,0.0631
loc_ic_t2f_mou_7,arpu_7,0.0676,0.0621,0.1336,0.0676,0.0621,0.1336
loc_ic_t2f_mou_7,arpu_8,0.0581,0.0485,0.0573,0.0581,0.0485,0.0573
loc_ic_t2f_mou_7,onnet_mou_6,-0.0037,-0.0005,-0.0014,0.0037,0.0005,0.0014
loc_ic_t2f_mou_7,onnet_mou_7,0.0024,0.0004,0.0329,0.0024,0.0004,0.0329
loc_ic_t2f_mou_7,onnet_mou_8,-0.0031,-0.0084,0.0121,0.0031,0.0084,0.0121
loc_ic_t2f_mou_7,offnet_mou_6,0.0426,0.0466,0.0378,0.0426,0.0466,0.0378
loc_ic_t2f_mou_7,offnet_mou_7,0.0451,0.0428,0.073,0.0451,0.0428,0.073
loc_ic_t2f_mou_7,offnet_mou_8,0.0332,0.0269,0.0325,0.0332,0.0269,0.0325
loc_ic_t2f_mou_7,roam_ic_mou_6,-0.0071,-0.0044,-0.0126,0.0071,0.0044,0.0126
loc_ic_t2f_mou_7,roam_ic_mou_7,-0.015,-0.0127,-0.0188,0.015,0.0127,0.0188
loc_ic_t2f_mou_7,roam_ic_mou_8,-0.0019,0.0029,-0.014,0.0019,0.0029,0.014
loc_ic_t2f_mou_7,roam_og_mou_6,-0.0197,-0.0185,-0.0051,0.0197,0.0185,0.0051
loc_ic_t2f_mou_7,roam_og_mou_7,-0.0266,-0.0241,-0.024,0.0266,0.0241,0.024
loc_ic_t2f_mou_7,roam_og_mou_8,-0.0148,-0.012,-0.0125,0.0148,0.012,0.0125
loc_ic_t2f_mou_7,loc_og_t2t_mou_6,0.059,0.0576,0.0501,0.059,0.0576,0.0501
loc_ic_t2f_mou_7,loc_og_t2t_mou_7,0.0648,0.0602,0.1187,0.0648,0.0602,0.1187
loc_ic_t2f_mou_7,loc_og_t2t_mou_8,0.0614,0.0572,0.0462,0.0614,0.0572,0.0462
loc_ic_t2f_mou_7,loc_og_t2m_mou_6,0.1292,0.1244,0.1732,0.1292,0.1244,0.1732
loc_ic_t2f_mou_7,loc_og_t2m_mou_7,0.1425,0.1349,0.2276,0.1425,0.1349,0.2276
loc_ic_t2f_mou_7,loc_og_t2m_mou_8,0.1242,0.1169,0.1195,0.1242,0.1169,0.1195
loc_ic_t2f_mou_7,loc_og_t2f_mou_6,0.2099,0.208,0.1961,0.2099,0.208,0.1961
loc_ic_t2f_mou_7,loc_og_t2f_mou_7,0.2463,0.2418,0.3232,0.2463,0.2418,0.3232
loc_ic_t2f_mou_7,loc_og_t2f_mou_8,0.2184,0.2157,0.1482,0.2184,0.2157,0.1482
loc_ic_t2f_mou_7,loc_og_t2c_mou_6,0.0055,0.0052,0.013,0.0055,0.0052,0.013
loc_ic_t2f_mou_7,loc_og_t2c_mou_7,0.0016,0.0005,0.0175,0.0016,0.0005,0.0175
loc_ic_t2f_mou_7,loc_og_t2c_mou_8,-0.0037,-0.0072,0.0251,0.0037,0.0072,0.0251
loc_ic_t2f_mou_7,loc_og_mou_6,0.129,0.1252,0.1471,0.129,0.1252,0.1471
loc_ic_t2f_mou_7,loc_og_mou_7,0.1428,0.1352,0.234,0.1428,0.1352,0.234
loc_ic_t2f_mou_7,loc_og_mou_8,0.1269,0.1203,0.1048,0.1269,0.1203,0.1048
loc_ic_t2f_mou_7,std_og_t2t_mou_6,-0.036,-0.0342,-0.0202,0.036,0.0342,0.0202
loc_ic_t2f_mou_7,std_og_t2t_mou_7,-0.0318,-0.0343,0.0095,0.0318,0.0343,0.0095
loc_ic_t2f_mou_7,std_og_t2t_mou_8,-0.0366,-0.0421,0.0035,0.0366,0.0421,0.0035
